"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","CL (L/d) [1]","V (L) [2,3]","CLADA","VADA","VALB","VCREAT","IIV CL (value obtained from SCM+)","IIV V","EPS(1), proportional (value obtained from SCM+)","EPS(2)","seCL (L/d) [1]","seV (L) [2,3]","seCLADA","seVADA","seVALB","seVCREAT","seIIV CL (value obtained from SCM+)","seIIV V","seEPS(1), proportional (value obtained from SCM+)","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
1731,18,31,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10836.206786878754,38.553317972699,4.24867364456746e-09,0.0187427567174127,2.26683497450526e-07,1.37698156778985e-10,0,0,1.22417,4.90962,3.50412,-0.241845,-0.122762,0.17007,0.268488,0.350583,0.288834,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1732,18,32,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10809.916100652683,12.2626317466274,0.00217371873948703,0.0113922142844765,0.190807395753521,0.000115905334929784,1,803,1.46683,4.72272,5.36127,-0.0289991,-0.125927,0.0896043,0.438401,0.414233,0.283842,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1733,18,33,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10808.772802837437,11.1193339313813,0.00385005838566105,0.0853781709050806,0.0450941774091338,2.73923121027258e-05,0,0,1.5327,5.08876,3.36275,-0.420638,-0.124551,0.223137,0.739119,0.33378,0.262308,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1734,18,34,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,172439274.71757716,172428477.064108,0,0.00529887350795506,0,0,0,0,1.52302,4.87011,4.37772,-0.061806,-0.128953,0.167675,0.47632,0.434686,0.290866,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1735,18,35,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10806.006528614958,8.35305970890295,0.0153516878329233,0.0517115500165759,0.296871546646782,0.000180333660072939,1,432,1.12592,4.94822,3.77018,-0.304657,-0.122476,0.121564,0.542524,0.335668,0.28689,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1736,18,36,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10804.922415718700,7.26894681264457,0.0263978316592524,0.114863076735897,0.229819994461305,0.000139603411735717,1,940,1.392,4.99315,4.90074,-0.0275595,-0.125734,0.135494,0.533094,0.367504,0.287467,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1737,18,37,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10810.615882471082,12.9624135650265,0.00153196081983156,0.000604600718429922,2.5338389008367,0.00153917223858014,1,307,1.44523,4.38833,4.33612,-0.0815038,-0.121639,0.337963,0.498007,0.333795,0.284,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1738,18,38,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10822.008745405810,24.3552764997548,5.1442125603951e-06,0.0171916712922247,0.00029922701946504,1.81764484412007e-07,0,0,1.35833,5.34879,3.61976,-0.404772,-0.124138,0.158542,0.472525,0.200195,0.289267,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1739,18,39,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10811.605754899851,13.9522859937952,0.000933898314266282,0.0168742112487284,0.0553447091837647,3.36189644494814e-05,0,0,1.55866,4.81102,3.65044,-0.211689,-0.122755,0.160265,0.677458,0.371908,0.252968,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1740,18,40,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10809.742718796784,12.0892498907288,0.00237056976545254,0.00836190356757953,0.283496424742762,0.00017220898556601,1,567,1.41805,5.53247,4.67059,-0.0673816,-0.121815,0.1578,0.790469,0.33334,0.273345,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1741,18,41,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,1266506240.1315076,1266495442.47804,0,0.0389647160687188,0,0,0,0,1.5972,4.34515,3.70452,-0.283371,-0.123256,0.225969,0.977288,0.32252,0.262435,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1742,18,42,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10810.050626584722,12.3971576786662,0.00203231683368158,0.031084748040663,0.0653798715377406,3.97147913387851e-05,1,808,1.34449,5.30429,3.82092,-0.175037,-0.123981,0.173828,0.411783,0.464102,0.295465,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1743,18,43,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10801.322263571601,3.66879466554565,0.159709724586906,0.146139410544347,1.09285868878225,0.000663853473048063,1,97,1.3669,4.84359,3.68485,-0.232386,-0.124321,0.240107,0.543531,0.441182,0.289918,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1744,18,44,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,11117.485000427727,319.831531521671,3.54376864107259e-70,3.06871402726892e-06,1.15480576214736e-64,7.01483022248443e-68,0,0,1.39306,5.2951,2.72519,-0.543886,-0.126839,0.116699,0.90873,0.048293,0.272779,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
