V_pop,0.00427947,-3.12984e-05,-2.28134e-05,2.9224e-05,-1.39981e-06,-6.21572e-06,-3.07758e-06,3.00154e-06,-1.19027e-05,-1.65236e-06,-5.61373e-06,1.99783e-06
Vm_pop,-3.12984e-05,0.00304762,0.00509584,0.00408596,-0.000189107,-0.0011496,0.000101454,-0.000263315,-7.29182e-05,-4.80805e-05,3.42774e-05,-4.27533e-06
Km_pop,-2.28134e-05,0.00509584,0.00988159,0.00725639,-0.000314639,-0.00191113,0.000153915,-0.00079316,-6.82805e-05,4.38521e-05,6.10418e-05,-8.22698e-06
Cl_pop,2.9224e-05,0.00408596,0.00725639,0.199744,-0.00577127,-0.0252344,0.000124936,-0.000559979,-0.000140676,0.000764186,2.19916e-05,-8.95258e-07
beta_Cl_ALB,-1.39981e-06,-0.000189107,-0.000314639,-0.00577127,0.000184639,0.000249357,-5.94017e-06,1.86369e-05,5.66193e-06,-2.52668e-05,-7.35559e-07,-6.33514e-08
beta_Cl_ADA_NA,-6.21572e-06,-0.0011496,-0.00191113,-0.0252344,0.000249357,0.0199994,-3.58852e-05,0.000114094,4.00913e-05,9.74839e-05,-2.78732e-05,5.44953e-06
Q_pop,-3.07758e-06,0.000101454,0.000153915,0.000124936,-5.94017e-06,-3.58852e-05,4.59754e-05,1.49215e-05,-3.32112e-06,-4.9645e-06,7.57812e-07,-4.47779e-08
V2_pop,3.00154e-06,-0.000263315,-0.00079316,-0.000559979,1.86369e-05,0.000114094,1.49215e-05,0.00029492,-8.67301e-06,-5.25302e-05,2.07926e-05,-6.51206e-06
omega_V,-1.19027e-05,-7.29182e-05,-6.82805e-05,-0.000140676,5.66193e-06,4.00913e-05,-3.32112e-06,-8.67301e-06,0.00216476,3.54183e-06,6.34505e-06,-2.65651e-06
omega_Cl,-1.65236e-06,-4.80805e-05,4.38521e-05,0.000764186,-2.52668e-05,9.74839e-05,-4.9645e-06,-5.25302e-05,3.54183e-06,0.000774827,-5.52879e-06,7.74128e-07
a,-5.61373e-06,3.42774e-05,6.10418e-05,2.19916e-05,-7.35559e-07,-2.78732e-05,7.57812e-07,2.07926e-05,6.34505e-06,-5.52879e-06,7.17507e-05,-1.93722e-05
b,1.99783e-06,-4.27533e-06,-8.22698e-06,-8.95258e-07,-6.33514e-08,5.44953e-06,-4.47779e-08,-6.51206e-06,-2.65651e-06,7.74128e-07,-1.93722e-05,6.42485e-06
