"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1] CL (L/d)","VMAX","KM","[2,3] V1 (L)","V2","Q","CLALB","IIV CL","EPS(1), proportional","EPS(2)","se[1] CL (L/d)","seVMAX","seKM","se[2,3] V1 (L)","seV2","seQ","seCLALB","seIIV CL","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
72,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,773.38,0,7076.1252362637806,0.942874,1.37976,0.00757974,4.423,0.000307122,12.9981,-3.67865,0.366139,0.327186,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,211.48,0,4811.8107572047065,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,368.24,0,5436.1980242536520,0.942895,1.37966,0.00757971,4.423,0.000306981,12.9981,-3.66873,0.366114,0.327131,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,334.1,0,5207.4496711354986,0.942922,1.37975,0.00757961,4.42297,0.000306966,12.9979,-3.66882,0.366112,0.327126,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,244.93,0,4584.5630925775349,0.94149,1.37933,0.00758026,4.42673,0.000306978,12.9984,-3.99557,0.366099,0.327319,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,232.55,0,4240.3395327590515,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,524.87,0,4705.1105979871882,0.942922,1.37971,0.00757939,4.42273,0.000306619,12.9976,-3.66922,0.366157,0.32711,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,1,0,0,0,0,0,1,0,0,0,0,1.5,NA,FOCE_I,NA,228.37,0,3005.3458675754487,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,581.74,0,5619.4290013622358,0.943069,1.37983,0.00757727,4.42167,0.000307001,12.9986,-3.67704,0.366075,0.327283,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,261.59,0,5300.8195472887755,0.942869,1.37972,0.0075797,4.42307,0.000306982,12.9981,-3.67848,0.366111,0.327141,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,279.16,0,4729.2898988689558,0.942892,1.37972,0.00757969,4.42304,0.000306981,12.9981,-3.67736,0.366112,0.32713,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,340.98,0,5513.5602862046126,0.942903,1.37963,0.00757967,4.423,0.000306981,12.9981,-3.66874,0.366113,0.327131,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,199.92,0,4357.6424841173202,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,1,0,0,0,0,0,1,0,0,1,0,2.9,NA,FOCE_I,NA,673.81,0,6039.9688828780818,0.942957,1.37978,0.00757793,4.42296,0.000306958,12.9979,-3.67892,0.366175,0.327097,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,372.28,0,4293.7487671382914,0.942951,1.37978,0.00757959,4.42286,0.000306966,12.9977,-3.66935,0.366112,0.327109,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,522.87,0,4996.6461351264297,0.942943,1.37978,0.0075804,4.42279,0.000306966,12.9973,-3.66909,0.366109,0.327119,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,383.97,0,6742.0170113869863,0.94287,1.37972,0.00757968,4.42301,0.000306979,12.998,-3.68153,0.366185,0.32716,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,290.36,0,5252.8838212258033,0.942948,1.37978,0.00757953,4.42283,0.000306966,12.9977,-3.66934,0.366105,0.327117,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,412.16,0,3475.6251595139188,0.942872,1.37972,0.00758017,4.42304,0.000306981,12.9982,-3.67821,0.366117,0.327093,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,306.94,0,6768.8837377404179,0.942937,1.37978,0.00757952,4.42283,0.000306966,12.9977,-3.66881,0.366124,0.327132,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,208.96,0,4093.2275026803563,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,349.28,0,6653.4315381961424,0.94293,1.37975,0.00758003,4.4228,0.000306996,12.9943,-3.66915,0.366117,0.32701,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,223.56,0,5086.5780482815771,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,1,0,0,0,0,0,1,0,0,1,0,2.9,NA,FOCE_I,NA,552.63,0,5974.6432528791838,0.942984,1.37967,0.00758155,4.42171,0.000306968,12.9973,-3.678,0.365884,0.327215,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,216.45,0,5372.3135651743478,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,337.87,0,4730.1089420463386,0.942897,1.37966,0.00757971,4.423,0.000306982,12.9982,-3.66864,0.366113,0.327131,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,403.58,0,4966.2474394649262,0.940577,1.37904,0.00758016,4.42724,0.000307101,12.9979,-4.03153,0.366098,0.327285,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,359.12,0,4741.7617371046490,0.942941,1.37976,0.00757994,4.4228,0.000306969,12.9979,-3.66842,0.366131,0.327068,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,224.46,0,5616.3239690871260,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,391.28,0,5738.3271079073747,0.942848,1.37972,0.00757968,4.423,0.000306981,12.9981,-3.66871,0.366113,0.327132,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,392.95,0,5629.2353423087161,0.942923,1.37975,0.00757959,4.42293,0.000307003,12.9977,-3.66921,0.366129,0.327121,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,763.88,0,5563.5994550880714,0.812427,1.50259,0.00726609,4.37365,0.000294505,10.9545,-8.15374,0.360129,0.40668,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,205.24,0,4720.8055157587405,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,674.01,0,6829.5039941074547,0.942937,1.37969,0.00757987,4.42262,0.000306934,12.9969,-3.6695,0.365955,0.327082,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,532.35,0,5671.9714917046431,0.942951,1.37978,0.00757936,4.42278,0.000306972,12.9993,-3.66933,0.366224,0.327098,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,436.43,0,4493.7266725992404,0.782481,1.27922,0.00742393,4.26681,0.000298796,14.0872,-7.23371,0.363974,0.365836,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,487.18,0,4895.3739081564026,0.940762,1.37969,0.00758036,4.423,0.000306967,12.9983,-3.66612,0.366126,0.327144,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,598.1,0,5321.6630507576665,0.940432,1.3806,0.00758453,4.44276,0.000307361,12.9655,-4.06725,0.366079,0.326892,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,214.48,0,3604.0831664627976,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,654.29,0,5493.9323720389239,0.942726,1.37969,0.00757958,4.42297,0.000306979,12.9988,-3.66422,0.366119,0.327153,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,259.11,0,5514.8760602363063,0.942889,1.37972,0.00757969,4.42305,0.000306981,12.9981,-3.67216,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,465.6,0,4103.4518239909066,0.942854,1.37954,0.00758263,4.42304,0.000306947,12.9983,-3.66802,0.366169,0.327164,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,231.44,0,3373.3957336153430,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,212.37,0,4432.1179689637784,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,308.47,0,6441.6613597234718,0.942884,1.37972,0.00757969,4.42306,0.000306981,12.9981,-3.68091,0.366112,0.327131,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,204.92,0,4314.1212976213374,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,205.2,0,4528.2219051563488,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,353.28,0,4290.2439902254273,0.94295,1.37978,0.00757953,4.42272,0.000306966,12.9976,-3.66919,0.366113,0.327102,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,232.12,0,5419.9997894991320,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,568.61,0,5542.8613065633626,0.942934,1.37983,0.00758066,4.42276,0.000306971,12.9961,-3.66957,0.36629,0.327094,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,224.41,0,6080.5439612786395,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,580.32,0,4196.3248080273997,0.942952,1.37969,0.00758016,4.42288,0.000306932,12.9982,-3.66931,0.365748,0.32713,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,214.39,0,4791.6088276966557,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,183.33,0,4435.3954380851092,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,399.6,0,6272.7907122549987,0.942932,1.37966,0.00757953,4.42282,0.000306979,12.9978,-3.66906,0.366129,0.327143,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,385.25,0,5568.9089816824471,0.942994,1.37983,0.00757947,4.42256,0.000306952,12.9973,-3.66922,0.36614,0.327085,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,285.76,0,8806.3080709321384,0.942034,1.37943,0.00758007,4.42527,0.000306974,12.9984,-3.99226,0.366112,0.327155,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,269.28,0,5649.8353912234825,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,424.91,0,5113.4469577516829,0.942902,1.37966,0.00757979,4.42291,0.000306982,12.9984,-3.66904,0.366134,0.327144,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,218.11,0,5466.3426276312412,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,241.62,0,6382.0669259422148,0.941391,1.37958,0.00758004,4.42499,0.000306975,12.9988,-3.94554,0.366058,0.327945,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,238.82,0,3761.2016185486923,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,362.81,0,5332.2296663388152,0.942924,1.37975,0.00757963,4.42278,0.000306974,12.9979,-3.6686,0.36612,0.327128,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,NA,199.63,0,3989.0780291353076,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,204.25,0,6579.4797531934719,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,203.98,0,5915.6824672843932,0.942835,1.37971,0.00757973,4.42317,0.000306983,12.9981,-3.68164,0.366111,0.327138,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,234.25,0,5326.1444760462036,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,519.63,0,7675.8123934067935,0.942949,1.37977,0.00757967,4.42273,0.000306968,12.9983,-3.66903,0.366139,0.327096,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,1,1,0,0,0,0,0,1,0,0,1,0,2.2,NA,FOCE_I,NA,538.49,0,5645.6430912813539,0.942972,1.38001,0.00757977,4.4231,0.000306935,12.9966,-3.68046,0.3657,0.327165,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,349.65,0,3911.6507195663485,0.942893,1.37972,0.00757968,4.42304,0.000306981,12.9981,-3.68135,0.366112,0.327128,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,336.05,0,3123.0053052461949,0.942951,1.37966,0.00758044,4.42294,0.000306966,12.9978,-3.6688,0.366111,0.32711,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,351.93,0,4792.7115650361411,0.942919,1.37974,0.00757961,4.42302,0.000306952,12.9979,-3.66944,0.366117,0.327127,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,334.79,0,6914.3897536112318,0.942982,1.37983,0.00757933,4.42276,0.000306952,12.9974,-3.66955,0.3661,0.327107,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,399.87,0,3952.0457053743071,0.942873,1.37952,0.00757966,4.42306,0.000306965,12.9981,-3.66867,0.366114,0.327133,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,309.24,0,6943.5008622080722,0.942941,1.37978,0.00757953,4.42288,0.000306935,12.9978,-3.66912,0.366119,0.327126,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,412.65,0,6848.8901513347537,0.942739,1.37971,0.00757981,4.42309,0.000306981,12.9981,-3.67293,0.366129,0.327134,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,641.71,0,5850.9745631740507,0.942954,1.37981,0.00757968,4.40732,0.000306995,12.9938,-3.66814,0.366382,0.327054,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
