"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1] CL (L/d)","VMAX","KM","[2,3] V1 (L)","V2","Q","CLALB","IIV CL","EPS(1), proportional","EPS(2)","se[1] CL (L/d)","seVMAX","seKM","se[2,3] V1 (L)","seV2","seQ","seCLALB","seIIV CL","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
15,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,346.18,0,5374.5539440030552,0.942939,1.37966,0.00757956,4.42295,0.000306966,12.9978,-3.66883,0.366107,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,306.38,0,5328.9393832687538,0.933573,1.37684,0.00758348,4.44544,0.0003069,12.9983,-6.34585,0.366081,0.327924,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,247.35,0,3712.8365935212555,0.942889,1.37972,0.00757969,4.42305,0.000306981,12.9981,-3.67216,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,201.12,0,3147.1175407667715,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,489.69,0,5148.9166029734788,0.942908,1.37981,0.0075795,4.42283,0.000306988,12.9964,-3.66878,0.366175,0.32712,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,226.18,0,6131.4876750154153,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,509.49,0,5438.1025319646569,0.942948,1.37988,0.00757966,4.42265,0.000306991,12.9991,-3.66907,0.366117,0.326982,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,203.61,0,4675.5065938676462,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,312.06,0,5869.4666086995039,0.942929,1.37966,0.00757949,4.42293,0.000306966,12.9977,-3.66899,0.366103,0.327134,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,507.51,0,6393.6647357169368,0.942965,1.37978,0.00757933,4.42269,0.000306854,12.9972,-3.66959,0.366128,0.327141,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
