"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
70,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,2823.54,0,8506.3070031122916,1.67246,4.9152,0.0662213,2.88999,4.53258,-0.121939,0.548601,0.378398,0.301897,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,3238.73,0,8357.3307774059704,1.77919,4.78336,0.125159,2.11902,6.97866,-0.124941,0.580782,0.351402,0.296524,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,4318.78,0,11091.567368785711,1.42503,5.23231,0.225157,1.32462,1.37667,-0.11773,0.538599,0.37556,0.27733,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,1,1,0,0,0,0,1,1,4,1,2,0,NA,NA,FOCE_I,NA,4075.38,0,11004.429087974082,1.32589,4.5013,0.515096,2.93725,4.90839,-0.139871,0.644993,0.469125,0.287752,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1690.71,0,11355.449987620768,1.40488,5.10641,0.190779,2.33166,3.44405,-0.127429,0.645716,0.418686,0.282697,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1,1,0,0,0,0,0,1,0,0,0,0,2.3,NA,FOCE_I,NA,1922.16,0,10348.414232342224,1.55966,5.05598,0.0818124,2.10452,2.18659,-0.138167,0.604311,0.300343,0.297694,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,2885.29,0,9504.6832211778965,1.50402,4.26998,0.256762,1.97178,2.58666,-0.12922,0.512805,0.451095,0.294482,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1189.27,0,10498.578808099561,1.42179,4.60039,0.210909,1.96284,4.48512,-0.123613,0.62456,0.415556,0.277456,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,1,0,0,0,0,0,1,0,0,1,0,2,NA,FOCE_I,NA,1336.5,0,10586.800796153038,1.21117,4.23957,0.202805,1.79626,3.98957,-0.127137,0.564396,0.440767,0.297927,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,2100.42,0,9454.5338312031581,1.523,4.85018,0.159511,1.53608,4.12,-0.113997,0.683961,0.349249,0.308336,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,1870.18,0,11115.388404149786,1.5621,4.3935,0.111172,2.8048,1.61602,-0.126155,0.534615,0.340296,0.28218,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1,1,0,0,0,0,0,1,0,0,1,0,2.6,NA,FOCE_I,NA,2400.81,0,12328.748379869496,1.22394,4.53697,0.545196,2.83727,1.47283,-0.124531,0.460808,0.449138,0.261504,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1,1,0,0,0,0,1,1,2,1,0,0,NA,NA,FOCE_I,NA,2091.77,0,10130.580680499921,1.42254,4.06997,0.0784946,0.737683,5.81887,-0.139871,0.592496,0.391552,0.310675,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1,1,0,0,0,0,0,0,0,0,1,0,NA,NA,FOCE_I,NA,1666.23,0,10836.341771941718,1.31134,4.35714,0.231516,2.31009,3.6539,-0.128672,0.652134,0.372778,0.293156,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,2104.62,0,10695.953108528911,1.23051,4.5636,0.203918,2.09406,4.39422,-0.12232,0.636836,0.382125,0.292949,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,1,0,0,0,0,0,0,0,0,1,0,NA,NA,FOCE_I,NA,1429.92,0,11596.665802018226,1.26111,4.03852,0.222999,1.87719,6.5241,-0.129702,0.699282,0.318407,0.307431,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,1726.49,0,12504.949058237307,1.10874,4.01912,0.71127,3.34718,5.20568,-0.119636,0.560957,0.36405,0.268044,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,1685.13,0,10145.649407204961,1.24388,4.61404,0.0574683,1.51225,4.07201,-0.139414,0.557373,0.384681,0.300959,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,1784.31,0,9122.1792958012174,1.64208,4.45941,0.223398,2.27107,6.53499,-0.12772,0.512673,0.403692,0.271751,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,2451.79,0,9887.2567635555024,1.5276,4.61144,0.133734,2.00009,7.04302,-0.130843,0.556108,0.372228,0.297431,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,1739.59,0,9442.9976155032873,1.39924,4.71757,0.219859,2.07128,6.42602,-0.125154,0.515336,0.380304,0.298676,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1,1,0,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,NA,1529.27,0,10881.331610515541,1.3523,4.60122,0.191789,2.05142,5.83128,-0.128431,0.659771,0.240103,0.297742,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,252.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,2924,0,9394.3609695877331,1.55268,5.31471,0.193602,1.78259,3.9494,-0.129256,0.526022,0.458741,0.285417,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,2298.89,0,10486.343657054204,1.51536,4.74389,0.181597,1.70052,3.94321,-0.139109,0.547877,0.421027,0.287994,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,1,0,0,0,0,0,1,0,0,1,0,2.3,NA,FOCE_I,NA,2777.81,0,11116.196864224672,1.4534,4.8887,0.218081,1.30786,1.17012,-0.127523,0.754761,0.396541,0.300043,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,1,0,1,0,0,0,0,0,0,0,0,3.9,NA,FOCE_I,NA,2085.05,0,11569.935854387239,1.26867,4.25232,0.209104,1.57293,1.45501,-0.124729,0.533806,0.346412,0.284785,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,771.2,0,10294.950508042066,1.40905,4.59273,0.204763,2.09591,7.00675,-0.129365,0.59554,0.392942,0.290174,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1,1,0,0,0,0,0,1,0,0,1,0,2.3,NA,FOCE_I,NA,2109.03,0,10313.294603462382,1.59118,4.63167,0.167894,1.72423,7.08788,-0.123734,0.588067,0.330954,0.280596,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1,1,0,0,0,0,1,1,1,1,1,0,NA,NA,FOCE_I,NA,2260.46,0,11838.157740314473,1.33515,4.47201,0.356557,2.23077,7.9778,-0.123381,0.614874,0.430836,0.282893,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1381.36,0,10185.108789319944,1.37565,4.83521,0.147336,2.11387,4.09366,-0.128401,0.572177,0.394347,0.278385,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1,1,0,0,0,0,0,1,0,0,0,0,1.4,NA,FOCE_I,NA,1657.87,0,11049.846073145301,1.36448,4.30275,0.365557,2.80571,7.01741,-0.139462,0.547622,0.336619,0.278059,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,1357.63,0,11279.491270782946,1.28389,4.74053,0.207468,2.16062,3.88359,-0.127266,0.543014,0.387078,0.277322,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,1215.97,0,11006.708014362604,1.35042,4.35044,0.232043,1.98799,3.32664,-0.127993,0.602594,0.459431,0.291747,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,1,0,0,0,0,0,1,0,0,0,0,1.7,NA,FOCE_I,NA,2158.08,0,9738.2548228166488,1.41891,4.58312,0.198834,1.83718,4.56914,-0.127363,0.500526,0.29852,0.284386,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,1871.5,0,10936.109635529170,1.28879,4.38538,0.347582,2.61443,6.03782,-0.13857,0.524365,0.400422,0.28671,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,1,0,0,0,0,0,1,0,0,2,0,3,NA,FOCE_I,NA,1881.61,0,11617.577950527073,1.35057,4.61502,0.201806,2.12496,3.69186,-0.123658,0.661859,0.399608,0.300117,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,2705.33,0,10526.034827272650,1.33631,4.73964,0.406047,2.47847,6.20606,-0.117375,0.603779,0.322051,0.261347,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,1605.93,0,10452.514487637709,1.45011,4.84997,0.288265,2.36797,3.70977,-0.125382,0.580608,0.386147,0.282498,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,855.05,0,11819.552821496862,1.20279,4.17763,0.192123,1.86706,3.95732,-0.127291,0.567099,0.36881,0.272164,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,1,0,0,0,0,1,1,5,1,0,0,NA,NA,FOCE_I,NA,1201.18,0,11869.169565403163,1.33063,4.30291,0.65191,2.79614,7.9778,-0.120184,0.675462,0.48957,0.269452,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,3270.64,0,10523.056682858531,1.58305,3.76616,0.0897826,2.17649,7.96604,-0.136391,0.493574,0.445067,0.280755,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,2883.4,0,11844.502524477350,1.22158,3.65209,0.44799,2.46593,1.53237,-0.126432,0.666176,0.330114,0.28202,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,2277.09,0,10191.675768928713,1.42903,5.14028,0.124913,2.03708,6.22959,-0.136295,0.606355,0.36961,0.299383,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,2415.32,0,10073.769709460590,1.553,5.08374,0.208227,1.9357,6.39397,-0.119164,0.616349,0.335368,0.292795,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1,1,0,0,0,0,0,1,0,0,1,0,2.6,NA,FOCE_I,NA,2537.76,0,11713.128376937651,1.25896,4.30421,0.423733,2.29756,7.17696,-0.122278,0.591324,0.402674,0.276401,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,1686.49,0,11164.215423410840,1.26781,4.96757,0.203144,1.6912,7.22191,-0.123398,0.607028,0.381714,0.285013,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,1483.15,0,11971.345364866656,1.20019,4.6393,0.196057,2.45892,3.62261,-0.123446,0.608273,0.404617,0.298646,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,734.02,0,10217.604665767962,1.52898,4.494,0.200063,1.9267,6.70979,-0.127584,0.624362,0.390349,0.288088,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,2046.6,0,7871.2186966797462,1.80473,4.8835,0.0531287,1.67917,3.47492,-0.127942,0.542605,0.340895,0.304217,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,915.36,0,9393.3599884824998,1.42156,4.62732,0.199041,2.1851,5.86432,-0.12844,0.528158,0.26593,0.287321,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1,1,0,0,0,0,0,1,0,0,0,0,0.7,NA,FOCE_I,NA,2836.3,0,12509.141463894026,1.25495,4.57577,0.574706,3.58504,4.44097,-0.12708,0.578641,0.486287,0.259104,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,1,0,0,0,0,0,1,0,0,0,0,2.4,NA,FOCE_I,NA,1670.33,0,12415.037436647202,1.19568,4.66899,0.423589,2.90992,4.1793,-0.128905,0.603436,0.353355,0.269811,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,1,0,0,0,0,0,1,0,0,1,0,3,NA,FOCE_I,NA,2720.47,0,9922.5405157461682,1.70692,5.25453,0.259299,2.84836,1.52677,-0.126483,0.544704,0.467996,0.290136,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,2733.56,0,9401.3818563254226,1.31007,4.15382,0.232326,3.0406,1.7718,-0.129532,0.550135,0.470098,0.307265,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1,1,0,0,0,0,0,1,0,0,1,0,2.7,NA,FOCE_I,NA,2590.7,0,9336.4622704159392,1.56734,5.28341,0.196045,2.07587,6.19248,-0.133931,0.680745,0.338413,0.312694,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,2424.9,0,9888.5876527863129,1.44076,4.99343,0.141489,1.22629,4.04562,-0.127858,0.428807,0.381457,0.279493,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1,1,0,0,0,0,0,1,0,0,0,0,2,NA,FOCE_I,NA,4807.64,0,10893.845688643452,1.20914,4.24851,0.450171,2.20002,6.27826,-0.12721,0.636108,0.389383,0.263915,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,2132.26,0,10808.631866894220,1.37261,4.65526,0.220698,2.04553,6.93545,-0.12725,0.663507,0.363052,0.276917,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,1638.78,0,9367.4691672167355,1.40948,4.77038,0.305702,2.32994,4.28989,-0.127244,0.579613,0.357737,0.288508,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1,1,0,0,0,0,1,1,5,1,1,0,NA,NA,FOCE_I,NA,2479.6,0,12360.978946520421,1.28589,4.51062,0.559154,3.31036,7.9652,-0.139871,0.552002,0.500742,0.266773,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,1,1,0,0,0,0,0,1,0,0,0,0,2.5,NA,FOCE_I,NA,1852.27,0,10694.214977690684,1.48959,4.71291,0.21293,1.8659,3.91052,-0.12893,0.546585,0.470251,0.275322,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1,1,0,0,0,0,0,0,1,1,1,0,NA,NA,FOCE_I,NA,1981.46,0,10488.675294164723,1.49174,4.53163,0.19179,2.09896,4.50564,-0.127158,0.497142,0.304244,0.292454,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,1585.68,0,9491.5960132630044,1.57861,4.91053,0.202905,2.1962,5.76398,-0.120009,0.567373,0.346292,0.292521,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,1460.33,0,9695.2794199459750,1.46448,4.85858,0.201991,1.94255,3.01611,-0.124256,0.577172,0.363455,0.306412,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,1,1,0,0,0,0,0,1,0,0,1,0,2.4,NA,FOCE_I,NA,3034.36,0,10852.875949170713,1.55483,4.70409,0.106345,1.66678,3.77416,-0.134865,0.646541,0.320479,0.291055,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,1976.01,0,9866.7077474890430,1.42517,4.57536,0.22247,2.05501,4.18898,-0.125414,0.611758,0.382669,0.299905,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,1074.19,0,10976.449070250299,1.2718,4.58131,0.212161,2.04948,4.38438,-0.126979,0.598843,0.452502,0.280893,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,1235.23,0,11795.223231435599,1.37551,4.64732,0.214427,2.02785,6.4502,-0.127669,0.53824,0.418896,0.294234,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1237.95,0,11452.072480851604,1.27817,4.36041,0.206624,2.04412,7.86708,-0.129191,0.613491,0.377353,0.288778,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,1,1,0,0,0,0,1,0,8,3,0,0,NA,NA,FOCE_I,NA,3976.32,0,11080.978731919056,1.41223,4.2649,0.32761,1.87055,2.87274,-0.139871,0.595958,0.378224,0.290549,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,1465.07,0,10107.664072740370,1.53399,5.0953,0.180194,1.92463,6.46463,-0.127667,0.53572,0.307617,0.290734,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,1612.91,0,11028.981250409795,1.38778,5.2823,0.240387,2.22769,3.77331,-0.126665,0.493306,0.309246,0.274709,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,3865.52,0,10815.559438917091,1.32941,4.0916,0.438532,2.77411,4.38373,-0.126086,0.581994,0.425086,0.283315,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1,1,0,0,0,0,0,0,0,0,2,0,NA,NA,FOCE_I,NA,6045.82,0,11476.239585012998,1.18496,4.10454,0.597152,3.35706,4.53949,-0.12091,0.603922,0.41144,0.294108,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1,1,0,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,NA,2684.32,0,9308.8420452177124,1.60872,5.31734,0.0294792,0.583658,3.79095,-0.119079,0.567094,0.37556,0.304041,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
