id,linearization
1,239.152458
2,199.768663
3,160.534237
4,216.244079
5,166.426470
6,210.271699
7,284.788915
8,275.204615
9,165.759389
10,137.571034
11,261.546607
12,248.512610
13,167.836305
14,141.844430
15,186.093276
16,162.369502
17,165.141316
18,205.337965
19,141.834547
20,185.033801
21,245.785559
22,166.562409
23,139.937116
24,194.853997
25,204.564322
26,203.396806
27,191.271637
28,190.722183
29,216.965458
30,208.679883
31,284.235685
32,278.772931
33,242.873821
34,205.380241
35,289.834621
36,284.901096
37,200.269657
38,210.382411
39,200.162042
40,254.502625
41,232.195100
42,344.441189
43,240.378084
44,293.349345
45,165.616598
46,320.357588
47,281.146053
48,244.053915
49,204.732300
50,280.886668
51,277.519292
52,329.975293
53,299.186716
54,268.588449
55,300.584504
56,260.133804
57,292.471448
58,354.407631
59,233.092081
60,273.941119
61,308.762390
62,240.549289
63,251.940494
64,296.307028
65,320.336151
66,324.689915
67,324.783332
68,334.096533
69,250.325508
70,256.250998
71,240.240531
72,171.241050
73,380.328698
74,234.950769
75,319.082550
