"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
465,5,65,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.045055029017,5.88976426805675,0.052608260174562,0.000431397893748979,121.948347307355,0.00107669436158264,1,405,1.48351,4.99494,0.136166,1.71125,5.797,-0.124882,0.549804,0.264613,0.288503,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,5,66,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.882478147854,2.727187386894,0.255740072157592,0.0874104696231468,2.92573730881627,2.58316322724323e-05,0,0,1.35487,4.80379,0.220457,1.90045,5.96962,-0.126649,0.699351,0.349249,0.302146,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,5,67,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.394171639855,3.23888087889463,0.198009466376663,0.135214421251939,1.46441085605596,1.29294323914201e-05,0,0,1.4311,4.73067,0.231387,2.14155,5.23564,-0.128102,0.723752,0.419612,0.280389,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,5,68,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.837263447451,2.68197268649055,0.26158752620324,0.14885660975695,1.75731213165713,1.55154875443063e-05,0,0,1.43388,4.58396,0.215996,2.05536,5.74394,-0.127177,0.526077,0.481247,0.287114,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,5,69,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.096409689220,2.94111892826004,0.229796886101826,0.0709347856617913,3.23955142681999,2.86023290379084e-05,1,475,1.39188,4.96301,0.25572,2.2447,5.98293,-0.128257,0.538208,0.429295,0.30088,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,5,70,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.597789290567,4.44249852960638,0.1084735120038,0.000920709738063856,117.815102327371,0.00104020152126745,1,208,1.3082,4.65725,0.173579,1.936,6.16783,-0.128553,0.543343,0.464388,0.301644,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,5,71,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.945763980626,1.79047321966573,0.408510929502112,0.0338485719717659,12.068778849603,0.000106556475962767,1,297,1.50105,4.96174,0.261085,2.27142,5.76331,-0.128028,0.666281,0.381295,0.291154,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,5,72,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.940896239077,7.78560547811685,0.0203881232957002,2.38109402074309e-05,856.250241195326,0.00755992046759934,1,13,1.22017,4.5284,0.134685,1.62731,5.43553,-0.125067,0.537503,0.496454,0.283965,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,5,73,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.904924925084,2.74963416412356,0.252885848932445,0.00694802491914166,36.3967964817959,0.000321351018008073,1,253,1.40657,4.89106,0.226826,2.33447,5.14582,-0.125577,0.621651,0.417967,0.299414,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,5,74,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.399365032090,5.24407427112965,0.0726547044868983,0.015848066984498,4.58445213274065,4.04765941585636e-05,0,0,1.3029,4.60356,0.22471,2.18971,6.30999,-0.125632,0.570248,0.367269,0.308009,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
