"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3.2,7.18743,FOCE_I,NA,239.16,54.75,10624.155290760960,0,NA,NA,NA,NA,NA,NA,1.39726,4.70664,0.228756,2.1274,5.78029,-0.127136,0.607047,0.375377,0.289024,1e-13,0.0456196,0.167603,0.0187831,0.125705,0.243757,0.000998826,0.160859,0.0754157,0.0117312,NA,NA,NA,NA,0.262537,0.430542,0.577737,0.810592,0.899776,1.17463,1.31734,1.63988,1.88697,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.515052429957,1.35976166899673,0.506677367230852,0.0842234335353163,6.01587166377388,9.68072525255447e-05,1,478,1.42541,4.96735,0.212676,2.2131,5.92088,-0.125875,0.531846,0.401587,0.290394,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.763008466483,2.6077177055231,0.271482159465036,0.0307849681328626,8.81865975281723,0.000141909646571863,0,0,1.4274,4.67387,0.165852,1.84615,5.85467,-0.124449,0.540141,0.436872,0.285246,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.808646874333,1.65335611337287,0.437500225967949,0.0147164877431458,29.7285761116279,0.000478391484345237,0,0,1.45638,4.63729,0.27093,2.16737,5.157,-0.126537,0.560851,0.394827,0.288757,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.577584882292,5.42229412133202,0.0664605287173013,0.021350477416438,3.11283571889275,5.00916725541226e-05,0,0,1.47805,4.46641,0.265901,2.37046,5.0792,-0.12751,0.776974,0.437187,0.280565,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.222540201048,7.06724944008783,0.0291988860314376,0.0116735469622274,2.50128655205806,4.02506390457027e-05,1,818,1.19182,4.80321,0.213526,2.23513,5.40949,-0.126566,0.513458,0.426462,0.298797,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.237286834323,5.08199607336246,0.0787877274962154,0.0113577005459522,6.93694354569814,0.000111629117626916,1,217,1.3941,4.98928,0.241831,2.14241,6.02782,-0.127712,0.593206,0.528209,0.30057,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.934367385393,1.77907662443249,0.410845391270245,0.179584481225106,2.28775553693449,3.68145034267232e-05,0,0,1.3303,4.48373,0.213269,2.06802,5.79754,-0.126077,0.635527,0.369549,0.280651,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.127981808979,3.97269104801853,0.137195889505821,0.040323511764794,3.40237949279024,5.47510035378075e-05,0,0,1.3177,4.51909,0.21792,2.13682,6.0787,-0.126414,0.787349,0.420912,0.287891,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.531197705481,2.37590694452047,0.304844498838745,0.0676240120149599,4.50793275576887,7.25415382917474e-05,1,89,1.35701,4.44189,0.238146,2.22288,6.29212,-0.125776,0.601511,0.426558,0.287104,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
