parameter,delta,lambda,original.estimate,transformed.estimate
"[1]   CL (L/d)",0,2.98765432098765,1.39726,0.57459050252334
"[2,3] V1  (L)",0,2.02469135802469,4.70664,10.8738152951217
"V2",0,1.80246913580247,0.228756,-0.515941851759113
"Q",0,0.518518518518518,2.1274,0.923967543589412
"CLADA",0,2.22222222222222,5.78029,21.7541375352331
"V1ALB1",0,,-0.127136,-0.127136
"IIV CL",0,-0.148148148148148,0.607047,-0.518068053351121
"IIV V1",0,-0.37037037037037,0.375377,-1.1812206632173
"EPS(1), proportional",0,-2.98765432098765,0.289024,-13.3178084017834
