"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
12,1,12,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.823737092924,1.66844633196342,0.434211660839095,0.292002803089887,1.48701196099625,2.65866586216063e-05,0,0,1.38734,4.59334,0.194831,1.91814,5.48082,-0.126163,0.681249,0.402723,0.295362,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,13,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10641.081422195299,16.9261314343385,0.000211123831567196,1.02799268171915e-05,20.537483906415,0.000367194809381878,1,132,1.59794,4.18735,0.277746,2.37308,4.82311,-0.131077,0.691287,0.487182,0.267569,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,14,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.581684384279,2.42639362331829,0.297245520997057,0.0178829706881284,16.6217082262727,0.000297183677005387,1,4,1.36846,4.82634,0.20464,1.67936,6.25957,-0.127325,0.607096,0.487646,0.290712,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,15,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.952768030946,7.79747726998539,0.0202674599942181,0.000799087681091854,25.3632492075528,0.000453475873700543,1,759,1.54173,4.79939,0.192493,2.09113,4.89578,-0.123573,0.708469,0.292852,0.277154,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,16,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.495626159516,2.34033539855591,0.310314897317522,0.0121129755124891,25.6183872408205,0.000458037550384928,1,101,1.36896,4.78893,0.14296,1.74434,4.87814,-0.127388,0.554054,0.3504,0.302086,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,17,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.183389151025,4.02809839006477,0.133447225349686,0.00818820352581524,16.2974973605581,0.000291387029880642,1,30,1.39809,4.98407,0.261824,2.47638,4.82681,-0.12675,0.713537,0.376816,0.300492,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,18,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.125651967688,7.97036120672783,0.0185890867679517,0.00384452423398302,4.83521123462731,8.6449950525123e-05,0,0,1.32871,4.24052,0.264369,2.62121,5.45351,-0.12823,0.813012,0.369749,0.299014,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,19,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.640541864224,5.48525110326409,0.0644010364773827,0.00239566272687973,26.8823468991659,0.000480636201121669,1,223,1.4033,4.37479,0.253637,2.28979,4.80443,-0.124221,0.530029,0.313069,0.281885,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,20,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.132120052085,7.97682929112489,0.0185290659840992,0.00594723342009033,3.11557739124652,5.57041871100827e-05,0,0,1.30676,4.48439,0.287318,2.31654,5.38049,-0.129096,0.439629,0.396307,0.294576,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,21,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.207863524527,2.05257276356679,0.35833521290592,0.23618029053723,1.51721048395202,2.71265855635282e-05,0,0,1.33567,4.68731,0.210355,2.02313,5.69894,-0.125431,0.559664,0.319805,0.294316,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,22,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10636.847523987379,12.6922332264185,0.00175354361916154,0.000933931610302625,1.87759317686371,3.3569957830123e-05,0,0,1.47586,4.01731,0.231859,2.52897,6.01869,-0.125534,0.649553,0.276963,0.277649,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,23,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10634.186383489219,10.031092728259,0.00663400646369377,0.00175115269947554,3.78836549529954,6.77331338276004e-05,0,0,1.52771,4.75682,0.304491,2.62086,5.69582,-0.131264,0.607946,0.36875,0.274686,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,24,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.584887858135,6.42959709717434,0.0401634239872156,0.00805325836910627,4.98722655432112,8.9167870431595e-05,0,0,1.38904,4.7488,0.303786,2.47699,6.39839,-0.130411,0.61971,0.460432,0.278884,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,25,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.835643664839,8.68035290387888,0.0130342280856887,0.00538418560189546,2.42083558209809,4.32827246104726e-05,1,724,1.43679,4.74097,0.211218,2.27267,5.59146,-0.127607,0.999868,0.403537,0.29269,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,26,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.728754491662,2.57346373070141,0.276171876719538,0.0163233654662624,16.9188074169103,0.000302495587713184,0,0,1.40884,4.7723,0.176336,1.9703,6.30503,-0.128639,0.695871,0.407171,0.298906,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,27,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.849117811453,1.69382705049247,0.428736175288791,0.314234325353024,1.36438364843539,2.4394156362771e-05,0,0,1.35054,4.64356,0.260516,2.17052,5.85289,-0.129059,0.633915,0.40401,0.290346,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,28,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.139170363023,7.9838796020631,0.0184638631384134,0.00127777014029217,14.4500662178501,0.000258356346600062,1,825,1.31838,4.83077,0.323721,2.51345,5.53785,-0.129869,0.677598,0.450883,0.304349,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,29,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10642.677315948653,18.5220251876926,9.50590202151742e-05,1.34895787202745e-06,70.4684869604586,0.00125992369633909,1,42,1.44906,4.87106,0.249875,1.71544,5.10539,-0.1293,0.87742,0.686842,0.27706,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,30,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.019700054321,2.86440929336095,0.238781911772125,0.157977276295804,1.51149530724291,2.70244024902828e-05,0,0,1.32887,4.57757,0.251907,2.25245,5.24437,-0.12743,0.652526,0.4498,0.291063,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,31,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.832650050304,4.67735928934417,0.0964549089436487,0.0163518262995477,5.89872392090641,0.000105464759734126,0,0,1.38585,4.79165,0.157999,1.90976,6.41601,-0.125144,0.770627,0.31714,0.295235,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,32,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.487171520663,5.33188075970247,0.0695339344677538,0.0250978030730197,2.77051876873252,4.95347977293307e-05,0,0,1.41497,4.8311,0.234209,2.34538,5.62789,-0.126105,0.808479,0.465662,0.284553,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,33,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.055631640251,6.90034087929052,0.031740226124139,0.0128213697690686,2.47557216551946,4.42613736702704e-05,0,0,1.37672,5.17489,0.236633,2.10444,5.56132,-0.127982,0.615303,0.409386,0.314536,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,34,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.947507503948,6.79221674298788,0.0335033993724774,0.00494020235650895,6.78178684894054,0.000121253262600849,1,835,1.2524,4.61253,0.194833,2.08757,4.76612,-0.125892,0.758863,0.477396,0.293863,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,35,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.959066895850,4.80377613488963,0.0905468332690503,0.0379217947129391,2.3877254216071,4.2690739773114e-05,0,0,1.3816,4.82963,0.249605,1.94274,5.89715,-0.12893,0.506592,0.385095,0.306607,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,36,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.744302051226,3.58901129026526,0.166209598564523,0.00400139393688218,41.5379243299475,0.00074266693407802,1,542,1.37847,4.94741,0.181234,1.56709,5.25117,-0.127356,0.521201,0.297182,0.291524,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,37,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.079984929649,5.9246941686888,0.0516974364220378,0.0164099243260175,3.15037628418997,5.63263652171622e-05,0,0,1.23711,5.20206,0.197762,1.91352,5.34125,-0.128376,0.504925,0.404444,0.289186,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,38,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.489453310443,4.33416254948315,0.11451135681588,0.011047278518553,10.3655716313811,0.000185328646715594,0,0,1.33978,5.08082,0.260672,2.43948,4.89094,-0.127971,0.525642,0.407964,0.300471,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,39,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.375558285052,2.22026752409147,0.329514881542516,0.0556096812811495,5.92549487699031,0.000105943404351013,0,0,1.39723,4.97057,0.167528,1.93803,5.60826,-0.126901,0.533986,0.309429,0.291597,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,40,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.714153154831,3.5588623938711,0.168734096449052,0.00696178827439002,24.2371772594358,0.000433342551808569,1,924,1.45987,5.31603,0.217228,2.35713,5.81645,-0.126036,0.678879,0.374018,0.288441,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,41,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.679919418662,2.52462865770212,0.282998316859063,0.0406283952948783,6.96553026042697,0.000124538456992887,1,504,1.34386,5.03867,0.224084,2.43633,5.88575,-0.125751,0.667658,0.386313,0.28161,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,42,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.872997799916,4.71770703895527,0.0945285362206367,0.0642893157240466,1.47036152362218,2.62889612889849e-05,0,0,1.37767,4.76146,0.216336,2.06759,5.51714,-0.124805,0.752056,0.30857,0.282182,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,43,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.499493943829,2.34420318286902,0.309715361677025,0.211025754221056,1.46766617572464,2.62407704900553e-05,0,0,1.31851,4.99421,0.203852,2.03269,5.89612,-0.126864,0.652124,0.364195,0.301415,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,44,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.171607734339,4.01631697337871,0.134235643925477,0.0684210372561942,1.96190600593862,3.50774079803792e-05,1,587,1.39211,4.66066,0.190786,1.99222,6.22051,-0.126015,0.544694,0.285484,0.283723,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,45,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.115299673505,3.96000891254516,0.138068622038107,0.00884259438939082,15.6140399477962,0.000279167323925264,1,372,1.37804,4.85689,0.184921,1.67816,5.087,-0.125848,0.456535,0.404504,0.292904,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
