"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3.2,7.18743,FOCE_I,NA,239.16,54.75,10624.155290760960,0,NA,NA,NA,NA,NA,NA,1.39726,4.70664,0.228756,2.1274,5.78029,-0.127136,0.607047,0.375377,0.289024,1e-13,0.0456196,0.167603,0.0187831,0.125705,0.243757,0.000998826,0.160859,0.0754157,0.0117312,NA,NA,NA,NA,0.262537,0.430542,0.577737,0.810592,0.899776,1.17463,1.31734,1.63988,1.88697,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.786027532675,1.63073677171451,0.442476295324478,0.0713475335648298,6.20170415453007,6.53061058784299e-05,0,0,1.37445,4.54518,0.207917,2.00415,6.0297,-0.126395,0.604391,0.39268,0.277796,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.253110913158,1.09782015219753,0.57757898458235,0.0171009426952406,33.774686862327,0.000355659222252771,1,209,1.47122,4.76181,0.190441,2.15316,5.74642,-0.126045,0.534519,0.378428,0.285045,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.355556039309,3.20026527834852,0.201869740383142,0.00389267381865066,51.8588892333951,0.000546092175090299,1,69,1.29685,4.50988,0.181518,2.04121,5.47526,-0.12477,0.608163,0.328698,0.293659,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.442359752111,7.28706899115059,0.0261597189598644,0.00183674001321244,14.2424724085535,0.000149978197590126,0,0,1.33948,4.97994,0.266755,2.30496,5.47485,-0.12661,0.677081,0.272604,0.284335,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.426501995642,2.27121123468169,0.321227521456459,0.00796365014234108,40.3367194332858,0.000424759711921197,1,14,1.36545,4.64224,0.178577,1.79375,6.27058,-0.125725,0.527017,0.400064,0.297655,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.677369665374,1.52207890441423,0.467180562670287,0.0435122396252815,10.7367620396824,0.000113061845757803,0,0,1.46289,4.90635,0.208655,2.15842,5.78474,-0.126437,0.713297,0.400541,0.289683,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.977724809758,5.82243404879773,0.0544094719037515,0.0134101855882124,4.05732430366793,4.27250387887203e-05,0,0,1.5146,4.33553,0.217639,2.09492,5.654,-0.126096,0.703502,0.345396,0.273772,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10633.978570663665,9.8232799027046,0.00736040771767606,0.000418394400907894,17.5920320676002,0.00018525022803357,0,0,1.34973,4.75837,0.216893,2.04856,6.64042,-0.127824,0.491789,0.479059,0.313203,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.254509222443,2.09921846148245,0.350074520747328,0.193934321262992,1.80511896227277,1.90085317093427e-05,0,0,1.42565,4.73141,0.202782,1.99255,5.7024,-0.126822,0.728517,0.379359,0.279741,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,10,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.786759756371,1.63146899541061,0.442314329160953,0.00922678710012858,47.9380660202715,0.00050480454035206,1,55,1.40009,4.71479,0.256811,2.2931,5.47421,-0.125371,0.620277,0.401856,0.28744,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,11,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10634.134391810499,9.97910104953917,0.00680872415741667,0.00523324878020343,1.30105111440011,1.37005216168202e-05,0,0,1.27377,4.88761,0.23629,2.17562,5.60607,-0.128405,0.705038,0.463275,0.316452,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,12,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.014113235975,2.85882247501468,0.239449859846647,0.00471952418259952,50.7360171454313,0.00053426794071257,1,83,1.25687,4.8523,0.23701,2.42448,5.662,-0.127297,0.699969,0.386202,0.284111,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,13,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.969962018453,4.81467125749259,0.0900549149383036,0.00161473027358074,55.7708717125881,0.000587286713819485,1,363,1.30132,4.51321,0.251933,2.36347,5.43839,-0.129267,0.540079,0.423395,0.277214,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,14,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.904028597140,4.74873783618023,0.0930732074982375,0.0136571515641064,6.81497946781609,7.17641086376922e-05,0,0,1.34827,4.44916,0.23016,2.08182,5.70435,-0.125288,0.46779,0.391713,0.296817,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,15,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.980581335798,1.82529057483771,0.401460838867806,0.140226581748946,2.86294391448948,3.01477970804339e-05,0,0,1.3758,4.60935,0.233612,2.1847,5.41779,-0.127967,0.530165,0.345508,0.288049,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,16,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.414648179039,7.25935741807916,0.0265247051880009,0.0204315096325609,1.29822542068695,1.36707660773405e-05,0,0,1.41174,4.76963,0.234406,2.11091,5.50272,-0.126833,0.732753,0.334425,0.267279,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,17,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.188313996021,2.03302323506068,0.361855029800493,0.0137712335528167,26.2761522715211,0.000276697039968965,1,359,1.29913,4.68824,0.182729,1.95123,5.53984,-0.126417,0.529864,0.349638,0.283579,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,18,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.235471025331,3.08018026437094,0.214361779660553,0.071558478225417,2.99561680148213,3.15448888134877e-05,0,0,1.41479,4.8735,0.259219,2.24529,5.67633,-0.128694,0.688843,0.463625,0.28408,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,19,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.434802024642,5.27951126368134,0.071378710109346,0.00452927719660075,15.7594042075668,0.000165952018044678,1,139,1.50296,4.67255,0.242906,2.05588,5.49427,-0.128799,0.65035,0.4198,0.271221,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,20,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.695320087663,4.54002932670301,0.103310665191396,0.00482842292580576,21.3963579369252,0.000225311105145341,1,247,1.42047,4.86847,0.234254,2.13944,5.29596,-0.126377,0.56189,0.298649,0.302489,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,21,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.926386487301,7.77109572634072,0.0205365744460152,0.00101892248134238,20.1551882719863,0.000212241156058462,0,0,1.28442,4.69638,0.186004,1.82127,5.40978,-0.12632,0.730786,0.344651,0.313694,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,22,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.928406463254,3.77311570229358,0.151592716496435,0.088404647252869,1.71475958795272,1.80570160098807e-05,0,0,1.46614,4.35245,0.226909,2.17504,5.78326,-0.126269,0.553195,0.314959,0.282041,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,23,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.314535126785,1.15924436582463,0.560109945702246,0.0235004232883372,23.8340364694715,0.000250980709560082,1,313,1.36192,4.8495,0.23628,1.86234,5.62196,-0.128439,0.651134,0.385421,0.290299,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,24,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.740221431115,2.58493067015479,0.274592984216386,0.0425657314932371,6.45103407326652,6.79316368076615e-05,0,0,1.37643,4.56844,0.207871,2.12671,5.37894,-0.127729,0.501206,0.43006,0.289903,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,25,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.600921611735,4.44563085077425,0.108303758030588,0.0274349555399016,3.94765567864947,4.15701899506366e-05,1,309,1.3105,4.97494,0.239642,2.33161,5.76139,-0.126868,0.690756,0.314628,0.300132,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,26,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.849054887547,2.69376412658676,0.260049816786954,0.00224817497661782,115.671520006942,0.00121806141416378,1,96,1.46839,4.7647,0.287334,2.42646,6.09168,-0.128896,0.513037,0.404064,0.290306,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,27,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.748029855013,2.59273909405238,0.273523005078151,0.0435141333494538,6.28584287503877,6.61921159255237e-05,0,0,1.40962,4.90859,0.250057,2.09385,5.99265,-0.129235,0.633209,0.411776,0.279487,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,28,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.284830805977,5.12954004501626,0.0769368731565294,0.014098242570592,5.45719601370844,5.74661757140194e-05,0,0,1.3668,4.51333,0.220878,2.03014,6.1129,-0.126781,0.669927,0.536769,0.293062,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,29,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.731546871228,3.57625611026742,0.167273002611184,0.000242208482368185,690.61579089088,0.00727242493956937,1,52,1.40599,5.07089,0.166065,1.70767,5.7609,-0.128041,0.476036,0.414594,0.299774,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,30,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.950401056318,2.79511029535752,0.24720059469466,0.00143513115637975,172.24947949583,0.00181384704351662,1,41,1.47614,4.6001,0.195617,2.03333,4.72008,-0.125933,0.648964,0.438369,0.283468,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,31,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.747859559811,4.59256879885106,0.100632058469225,0.0172286238679255,5.84098064016427,6.1507561569475e-05,1,210,1.40551,4.72046,0.195625,1.98335,5.16181,-0.127383,0.842861,0.374019,0.292107,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,32,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.857897465863,3.70260670490279,0.157032364361018,0.0147459301940831,10.6492003077587,0.00011213979020768,1,348,1.34897,4.36685,0.251813,2.21815,5.47956,-0.127772,0.571692,0.357238,0.276637,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,33,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.396550675830,6.24125991487017,0.044129360043101,0.000141931921578357,310.919203744722,0.00327408756261908,1,95,1.36375,4.28307,0.183386,1.94405,6.33819,-0.126966,0.49125,0.487099,0.285136,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,34,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.594073223821,2.43878246286113,0.295409948487517,0.0056556506836301,52.2327076073778,0.000550028612834235,1,190,1.38409,4.91485,0.211873,1.91193,6.35153,-0.128151,0.675988,0.36776,0.279243,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,35,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.640836634228,7.48554587326726,0.0236883257489377,0.00400471937797908,5.91510253607123,6.22880909629118e-05,1,230,1.35452,4.8805,0.234299,2.24934,5.51889,-0.126106,0.555253,0.338699,0.316752,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,36,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10866.946877633256,242.791586872296,1.89878933796702e-53,0.0321262758593645,5.91039355535368e-52,6.22385037549997e-57,0,0,1.40403,4.50604,0.197778,1.82416,5.48791,-0.126868,0.606094,0.439725,0.300504,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,37,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10624.375740605170,0.220449844209725,0.895632665055615,0.131794020980523,6.79570027829997,7.15610920537957e-05,0,0,1.48259,4.75116,0.202481,2.05666,5.67915,-0.126915,0.599111,0.370979,0.288273,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,38,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.077543841029,1.92225308006891,0.382461784682178,0.0485121993548136,7.88382695010153,8.30194450914699e-05,1,119,1.29409,4.82171,0.233561,2.18009,5.786,-0.125556,0.582488,0.352663,0.293753,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,39,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.571614885512,3.41632412455147,0.181198518351329,0.00205497667352092,88.1754623719747,0.000928518345612704,1,216,1.25347,5.02099,0.269905,2.29221,6.17191,-0.127104,0.61258,0.40875,0.289219,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,40,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.202640473850,3.04734971288963,0.217909627162518,0.0172302195617795,12.6469443051028,0.000133176730661096,0,0,1.35335,4.7756,0.268787,2.14861,6.13756,-0.127928,0.548464,0.400699,0.302185,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,41,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10624.613991503609,0.458700742648944,0.79504992200501,0.478165309547387,1.66270933112562,1.75089086673421e-05,0,0,1.43695,4.65248,0.218651,2.04138,5.83758,-0.127577,0.636253,0.380508,0.29497,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,42,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.589044647390,2.43375388642926,0.29615362876137,0.07594744485214,3.89945480506874,4.10626179550914e-05,0,0,1.35837,4.81231,0.237373,2.25038,5.91252,-0.126704,0.583992,0.47637,0.283124,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,43,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.068135734575,1.91284497361448,0.384265143497215,0.0457389660881967,8.40126431271427,8.84682408331306e-05,0,0,1.30276,4.89631,0.207029,1.93501,5.56974,-0.12731,0.522549,0.361215,0.285954,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,44,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.281777064205,3.12648630324475,0.209455671975828,0.0945166737208285,2.2160711304176,2.33360012459591e-05,0,0,1.35864,4.77713,0.238534,2.04397,5.46536,-0.127587,0.715078,0.43445,0.297662,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
