parameter,delta,lambda,original.estimate,transformed.estimate
"[1]   CL (L/d)",0,2.8641975308642,1.39726,0.560984267767645
"[2,3] V1  (L)",0,,4.70664,4.70664
"V2",0,1.48148148148148,0.228756,-0.599102759482051
"Q",0,0.0987654320987654,2.1274,0.783755183402632
"CLADA",0,2.98765432098765,5.78029,62.9227494066439
"V1ALB1",0,,-0.127136,-0.127136
"IIV CL",0,-0.197530864197531,0.607047,-0.524585522684085
"IIV V1",0,0.296296296296296,0.375377,-0.850414284317277
"EPS(1), proportional",0,-1.25925925925926,0.289024,-2.99648983746026
